text,label,pro_text_no_angka
"restoran nya cukup bagus . pemandangan nya juga keren . ada area tempat bermain untuk anak-anak . makanan not bad . hanya saja pelayanan masih kurang , entah kurang staf atau bagaimana tapi kalau panggil pelayan lama baru datang .",positive,restoran nya cukup bagus pandang nya juga keren ada area tempat main untuk anak makan not bad hanya saja layan masih kurang entah kurang staf atau bagaimana tapi kalau panggil layan lama baru datang
"saya penggemar steak sejati . kalau daging salah bakar , atau saus nya terlalu berlebihan , sayang rasanya . rasa daging tidak terasa lagi . yang terasa hanya rasa saus . tetapi buat mendapatkan steak dengan kriteria saya itu pasti nya mahal . kita tahu sendiri . steak impor . bisa 400 ribu ide satu porsi . sudah coba suos btcher bandung ? penggemar steak harus mencoba .",positive,saya gemar steak sejati kalau daging salah bakar atau saus nya terlalu lebih sayang rasa rasa daging tidak asa lagi yang asa hanya rasa saus tetapi buat dapat steak dengan kriteria saya itu pasti nya mahal kita tahu sendiri steak impor bisa     ribu ide satu porsi sudah coba suos btcher bandung gemar steak harus coba
"biasanya orang cari resto untuk bunuh , kalau sarapan sudah terlalu siang , banyak resto bahkan lomba-lomba menyajikan menu sarapan , kalau di sini jangan datang sebelum jam makan siang , banyak menu yang belum siap , ada di daftar tapi baru bisa dipesan kalau agak siang , makanan lumayan enak .",positive,biasa orang cari resto untuk bunuh kalau sarap sudah terlalu siang banyak resto bahkan lomba saji menu sarap kalau di sini jangan datang belum jam makan siang banyak menu yang belum siap ada di daftar tapi baru bisa pes kalau agak siang makan lumayan enak
"restoran kedai nyonya rumah berada di tengah kota , tidak jauh dari jalan riau . sehingga bagi yang berkunjung ke jalan riau setelah lelah shoping , bisa mampir mencoba makanan di sini .",positive,restoran kedai nyonya rumah ada di tengah kota tidak jauh dari jalan riau sehingga bagi yang kunjung ke jalan riau telah lelah shoping bisa mampir coba makan di sini
"nama menu bikin penasaran unik antara lain nasi goreng ingin kawin , ayam ibu tiri dan lain-lain , citarasa lumayan , harga di atas standarlah",positive,nama menu bikin penasaran unik antara lain nasi goreng ingin kawin ayam ibu tiri dan lain citarasa lumayan harga di atas standar
"kakak koko , itu hanya pemikiran mendasar , banyak hal lain yang kurang dari pemkot bahkan membuat hilang nyawa , masalah bu risma all out itu yang dimaksud all out itu bagaimana",negative,kakak koko itu hanya pikir dasar banyak hal lain yang kurang dari perintah kota bahkan buat hilang nyawa masalah bu risma all out itu yang maksud all out itu bagaimana
"sudah jadi rutinitas kalau ke bandung pasti singgah ke sini , walau sedikit overpriced dan kalau lagi penuh pesanan suka agak terlambat tapi rasa dan kualitas bahan nya tetap menjadi yang terbaik .",positive,sudah jadi rutinitas kalau ke bandung pasti singgah ke sini walau sedikit overpriced dan kalau lagi penuh pesan suka agak lambat tapi rasa dan kualitas bahan nya tetap jadi yang baik
sempurnakan akhir minggu kamu dengan warna rosewood cantik dari sariayu color trend 2018 inspirasi jakarta matte lip cream shade j - 01 .,neutral,sempurna akhir minggu kamu dengan warna rosewood cantik dari sariayu color tren      inspirasi jakarta matte lip cream shade j     
berita indonesia : presiden pastikan awasi proses penyerahan sertifikat tanah untuk rakyat,neutral,berita indonesia presiden pasti awas proses serah sertifikat tanah untuk rakyat
"pertama kali datang ke kampung daun sudah disambut dengan desain kebudayaan indonesia , saya mendapat tempat di depan air terjun kecil , sungguh menyenangkan makan di sana , makanan yang enak dan suasanan alam yang asri .",positive,pertama kali datang ke kampung daun sudah sambut dengan desain budaya indonesia saya dapat tempat di depan air terjun kecil sungguh senang makan di sana makan yang enak dan suasanan alam yang asri
"mantaab . allah memang maha adil keceplosan nya ferry juliantoro yang mewakili gerindra , jadi terang deh . elektabilitas naik karena ada orang-orang nya masuk kpud dan bawaslu .",positive,mantaab allah memang maha adil ceplos nya ferry juliantoro yang wakil gerindra jadi terang deh elektabilitas naik karena ada orang nya masuk komisi pilih umum daerah dan badan awas pilih umum
batagor terdiri dari siomay dan bakso tahu goreng yang di goreng dan disajikan dengan saus kacang yang gurih . selain batagor juga tersedia bakso campur dan mi ayam pedas . harus makan di sini bila berkunjung ke kota bandung . sangat enak .,positive,batagor diri dari siomay dan bakso tahu goreng yang di goreng dan saji dengan saus kacang yang gurih selain batagor juga sedia bakso campur dan mi ayam pedas harus makan di sini bila kunjung ke kota bandung sangat enak
"harga mulai dari 18 ribu rupiah untuk bakpau dan dimsum . ada bakpau beranekarasa dan berbentuk karakter yang lucu . ada rasa coklat , durian , pandan , kacang , dll. untuk rasa lumayan enak . untuk dimsum , kemarin pesan bakau , pangsit kucai , siomay , dimakan dengan saos cocolan . , untuk rasa juga lumayan enak .",positive,harga mulai dari    ribu rupiah untuk bakpau dan dimsum ada bakpau beranekarasa dan bentuk karakter yang lucu ada rasa coklat durian pandan kacang dll untuk rasa lumayan enak untuk dimsum kemarin pesan bakau pangsit kucai siomay makan dengan saos cocol untuk rasa juga lumayan enak
"kencang yen yang iri . belum seberapa juga , bagaimana kalau meledak ya",negative,kencang yen yang iri belum berapa juga bagaimana kalau ledak ya
selain sambel nya khas banget rumah makan ini juga ayam nya luar bisa pas di lidah menu-menu lain yang di sajikan benar-benar mewakili makanan sunda banget . buat yang ingin makanan sunda enak dengan konsep modern sambal hejo natuna jawaba nya,positive,selain sambal nya khas banget rumah makan ini juga ayam nya luar bisa pas di lidah menu lain yang di saji benar wakil makan sunda banget buat yang ingin makan sunda enak dengan konsep modern sambal hejo natuna jawaba nya
"makanan yang di sajikan enak , dengan variasi yang beragam . tempat enak , bersih . enak buat berdiam lama",positive,makan yang di saji enak dengan variasi yang agam tempat enak bersih enak buat diam lama
rasa yang gurih dan enak terasa di mulut ketika sampan cabe garam masuk . restoran ini cocok untuk sarapan juga karena ada berbagai dimsum . harga masih agak terlalu mahal namun ketika mengingat rasa semua akan berimbang jadi nya .,positive,rasa yang gurih dan enak asa di mulut ketika sampan cabe garam masuk restoran ini cocok untuk sarap juga karena ada bagai dimsum harga masih agak terlalu mahal namun ketika ingat rasa semua akan imbang jadi nya
"tempat nya kecil tapi teduh . selalu ramai dan untuk cari parkir saja susah , meski tukang parkir nya banyak banget . pas ke sana , kondisi sedang penuh dan harus menunggu 15 menit untuk dapat meja . satu porsi terdiri atas bakso , tahu goreng , tahu bakso dan cuankie . bisa meminta juga jika hanya ingin menu tertentu . pesan di depan dan mangkok di bawa sendiri ke meja . rasanya mantap",positive,tempat nya kecil tapi teduh selalu ramai dan untuk cari parkir saja susah meski tukang parkir nya banyak banget pas ke sana kondisi sedang penuh dan harus tunggu    menit untuk dapat meja satu porsi diri atas bakso tahu goreng tahu bakso dan cuankie bisa minta juga jika hanya ingin menu tentu pesan di depan dan mangkok di bawa sendiri ke meja rasa mantap
woi ada tidak pemerintah daerah jawa barat . kok sampai pak presiden turun tangan . daerah termiskin di indonesia . penduduk terbanyak seindonesia . terkorup seindonesia . malu woi malu,negative,woi ada tidak perintah daerah jawa barat kok sampai pak presiden turun tangan daerah miskin di indonesia duduk banyak indonesia korup indonesia malu woi malu
tempat yang bagus buat merayakan anniversary . direkomendasikan banget buat siapa pun yang mau makan enak dan tempat yang romantis dengan pemandangan kota bandung . see kamu !,positive,tempat yang bagus buat raya anniversary rekomendasi banget buat siapa pun yang mau makan enak dan tempat yang romantis dengan pandang kota bandung see kamu
"makan di tempat ini tergolong unik karena menggunakan daun pisang sebagai ganti piring . untunglah menu yang disediakan tidak berupa kuah seperti soto , sehingga kita tidak khawatir jika kuah nya tumpah . makanan dipilih secara prasmanan , beberapa bisa dimasak ulang biasanya gorengan . makanan yang tersedia sangat khas sunda .",positive,makan di tempat ini golong unik karena guna daun pisang bagai ganti piring untung menu yang sedia tidak upa kuah seperti soto sehingga kita tidak khawatir jika kuah nya tumpah makan pilih cara prasmanan beberapa bisa masak ulang biasa goreng makan yang sedia sangat khas sunda
gua sih setuju dengan langkah nya rk ini negara indonesia bukan negara barat . kalau kamu tidak suka mending keluar dari indonesia haram jadi ahokers isi nya tukang maksiat,negative,gue sih tuju dengan langkah nya rk ini negara indonesia bukan negara barat kalau kamu tidak suka mending keluar dari indonesia haram jadi ahoker isi nya tukang maksiat
saya tidak suka jokowi,negative,saya tidak suka jokowi
eh minimal gua mau tanya nih . kalian orang sunda keturunan binatang ya ? kan nenek moyang orang sunda sangkuriang seekor anjing ? jadi pantas saja kalau kelakuan kalian seperti binatanglah nenek moyang kalian orang sunda seekor anjing,negative,eh minimal gue mau tanya nih kalian orang sunda turun binatang ya kan nenek moyang orang sunda sangkuriang ekor anjing jadi pantas saja kalau laku kalian seperti binatang nenek moyang kalian orang sunda ekor anjing
"lotek kalipah apo adalah tempat favorit untuk mencicipi lotek . bayam , kangkung , tauge disiram bumbu kacang mirip gado gado ditambah krupuk dan lontong . ayam . tempat ini sudah ada sejak saya kecil . oh ya , sudah ada cabang nya juga di jakarta , di jalan batanghari sekitar jalan musi / cideng . selain lotek , tersedia juga kolak pisang , biji salak , sagu rangi dll.",positive,lotek kalipah apa adalah tempat favorit untuk cicip lotek bayam kangkung tauge siram bumbu kacang mirip gado gado tambah kerupuk dan lontong ayam tempat ini sudah ada sejak saya kecil oh ya sudah ada cabang nya juga di jakarta di jalan batanghari sekitar jalan mus cideng selain lotek sedia juga kolak pisang biji salak sagu rang dll
saya mengunjungi gerai yang di jalan cihampelas . makanan enak menurut standar warung warung steak pesaing . bumbu steak nya diberi banyak . menu nya bervariatif . tempat nya enak buat nongkrong bareng teman,positive,saya unjung gerai yang di jalan cihampelas makan enak turut standar warung warung steak saing bumbu steak nya beri banyak menu nya variatif tempat nya enak buat nongkrong bareng teman
giant promo giant ekstra dan ekspres cashback penghargaan 20 % dengan kartu kredit bca,neutral,giant promo giant ekstra dan ekspres cashback harga    dengan kartu kredit baca
kecewa sangat potong rambut di kompak sudah pelayan sembarangan yang potong rambut nguasu jadi nya pun mengecwkan ! kotor ! ncux,negative,kecewa sangat potong rambut di kompak sudah layan sembarang yang potong rambut nguasu jadi nya pun mengecwkan kotor ncux
"menyenangkan makan bersama keluarga dan teman di braga permai staf ramah sayang makanan nya ada kekurangan . daging chesse burger nya kurang matang dan kentang nya juga bukan kentang yang baru digoreng . nasi goreng kepiting nya enak cuma masak nya kurang sempurna , sebagian keasinan dan sebagian kurang asin jika ingin memesan ice cream sebaiknya dadakan saja karena keburu lumer ice krim nya .",positive,senang makan sama keluarga dan teman di braga permai staf ramah sayang makan nya ada kurang daging chesse burger nya kurang matang dan kentang nya juga bukan kentang yang baru goreng nasi goreng kepiting nya enak cuma masak nya kurang sempurna bagi asin dan bagi kurang asin jika ingin mes ice cream baik dada saja karena keburu lumer ice krim nya
axa mandiri merupakan perusahaan joint venture axa dan bank mandiri sehingga jalur distribusi nya melalui bank mandiri .,neutral,axa mandiri rupa usaha joint venture axa dan bank mandiri sehingga jalur distribusi nya lalu bank mandiri
"rumah makan ini menyajikan masakan mi dan chinese food . menu yang terkenal adalah mi goreng , mi bakso / pangsit / komplit . yang sangat khas dari rumah makan ini adalah mie nya yang khusus dibuat sendiri , sehingga rumah makan ini juga sangat terkenal di bandung dengan penjualan mi mentah nya . tempat makan cukup terbatas hanya tersedia beberapa meja , sedangkan tempat parkir cukup luas karena terletak di . lanjutan",positive,rumah makan ini saji masakan mi dan cina food menu yang kenal adalah mi goreng mi bakso pangsit komplit yang sangat khas dari rumah makan ini adalah mie nya yang khusus buat sendiri sehingga rumah makan ini juga sangat kenal di bandung dengan jual mi mentah nya tempat makan cukup batas hanya sedia beberapa meja sedang tempat parkir cukup luas karena letak di lanjut
"enak , rasanya selalu bikin kangen . makanan wajib jika anda berkunjung ke lembang . hampir seluruh makanan nya yang digoreng , sempurna rasanya . mantap !",positive,enak rasa selalu bikin kangen makan wajib jika anda kunjung ke lembang hampir seluruh makan nya yang goreng sempurna rasa mantap
"terlepas dari antrean makan yang panjang , restoran ini begitu istimewa . terakhir saya ke kampung daun sekitar 13 tahun lalu , dan kemarin saat datang lagi , tidak ada perbedaan yang signifikan atau karena saya sudah lupa ? hehe . masih bagus dan alami seperti dulu . makanan nya luar biasa enak . anda harus coba bebek dan ayam bakar nya ! saya suka makan di sini .",positive,lepas dari antre makan yang panjang restoran ini begitu istimewa akhir saya ke kampung daun sekitar    tahun lalu dan kemarin saat datang lagi tidak ada beda yang signifikan atau karena saya sudah lupa hehe masih bagus dan alami seperti dulu makan nya luar biasa enak anda harus coba bebek dan ayam bakar nya saya suka makan di sini
"semua makanan yang pedas itu tidak enak tolong . sudah tidak enak di mulut , di lambung juga tidak enak",negative,semua makan yang pedas itu tidak enak tolong sudah tidak enak di mulut di lambung juga tidak enak
"yakinlah bahwa tempat ini juga cocok banget untuk yang tidak bujangan lagi , jadi jangan ragu-ragu karena melihat nama nya . makanan yang disajikan menurut saya sangat baik , demikian pula tempat nya yang bersih dan pelayanan nya yang memuaskan . ketika kami mampir dan bersantap , kami dihibur seorang gitarist pria yang melantunkan lagu-lagu dengan suara merdu , sehingga kami pun terhibur .",positive,yakin bahwa tempat ini juga cocok banget untuk yang tidak bujang lagi jadi jangan ragu karena lihat nama nya makan yang saji turut saya sangat baik demikian pula tempat nya yang bersih dan layan nya yang muas ketika kami mampir dan santap kami hibur orang gitarist pria yang lantun lagu dengan suara merdu sehingga kami pun hibur
dari segi rasa enak dan dagingnys empuk . harga sesuailah . lokasi strategis .,positive,dari segi rasa enak dan dagingnys empuk harga sesuai lokasi strategis
"jika ada pertanyaan lebih lanjut yang ingin kamu ketahui atau mengalami kendala terkait dengan produk traveloka , jangan ragu untuk menghubungi kami kembali .",neutral,jika ada tanya lebih lanjut yang ingin kamu tahu atau alami kendala kait dengan produk traveloka jangan ragu untuk hubung kami kembali
"bapak karena ongkos cekak , trio gadis madiun rela mandi dipuskesmas demi bertemu presiden jokowi",neutral,bapak karena ongkos cekak trio gadis madiun rela mandi puskesmas demi temu presiden jokowi
"tempat makan ini ramai saat liburan . tempat nya bagus dengan pemandangan yang sangat indah untuk foto-foto . kekurangan nya : pada saat masuk dipungut tiket masuk , jika ingin makan di pinggir danau harus reservasi dulu sayang nya reservasi tidak bisa online , kupon yang ditukarkan tidak bisa diuangkan kembali , harga makanan nya lumayan mahal . tetapi secara keseluruhan baik lumayanlah karena lumayan banyak spot indah buat foto-foto . harga yang dikeluarkan sesuai dengan yang kita dapatkan .",positive,tempat makan ini ramai saat libur tempat nya bagus dengan pandang yang sangat indah untuk foto kurang nya pada saat masuk pungut tiket masuk jika ingin makan di pinggir danau harus reservasi dulu sayang nya reservasi tidak bisa online kupon yang tukar tidak bisa uang kembali harga makan nya lumayan mahal tetapi cara seluruh baik lumayan karena lumayan banyak spot indah buat foto harga yang keluar sesuai dengan yang kita dapat
tempat nya nyaman sekali yang lebih puas makanan nya membuat mata melek . ingin ini ingin itu tinggal pilih bikin penasaran . semuanya enak . yang pasti harga sama menu nya seimbang deh sudah segala ada makan sepuas nya . paling suka makan bersama keluarga hanamasa . tidak bosan-bosan deh bikin jet agihan lalu . dan terus .,positive,tempat nya nyaman sekali yang lebih puas makan nya buat mata melek ingin ini ingin itu tinggal pilih bikin penasaran semua enak yang pasti harga sama menu nya imbang deh sudah segala ada makan puas nya paling suka makan sama keluarga hanamasa tidak bosan deh bikin jet agih lalu dan terus
"gubernur tulalit malu - maluin saja sampai presiden turun tangan urus sungai . pak jokowidodo rapat sungai citarum tapi gubernur terkait tidak ada , tanda nya tidak dianggap ! jangan bangga anda jadi gubernur karena keberadaan anda tak dianggap ! malu tujuh turunan",negative,gubernur tulalit malu   malu saja sampai presiden turun tangan urus sungai pak jokowidodo rapat sungai citarum tapi gubernur kait tidak ada tanda nya tidak anggap jangan bangga anda jadi gubernur karena ada anda tak anggap malu tujuh turun
"lah itu sudah ketahuan kubu mana yang suka membuat fitnah , tidak usahd tanyakan lagi sudah pasti para ahokers yang membuat skenario buruk ini . hahaha . kelicikan dari kubu ini sudah keseringan .",negative,lah itu sudah tahu kubu mana yang suka buat fitnah tidak usahd tanya lagi sudah pasti para ahoker yang buat skenario buruk ini haha kelici dari kubu ini sudah sering
batagor kingsley sudah dikenal para pecinta kuliner . batagor dan siomay nya lezat membuat ketagihan pecinta kuliner . rasa batagor dan siomay tidak berubah sejak dulu tetap lezat .,positive,batagor kingsley sudah kenal para cinta kuliner batagor dan siomay nya lezat buat tagih cinta kuliner rasa batagor dan siomay tidak ubah sejak dulu tetap lezat
"bagi para pendukung nya , jokowi mungkin seperti robin hood . tak masalah bila jokowi korupsi , tak masalah melanggar aturan tender untuk kesejahteraan rakyat . tak mengapa berbuat kriminal , asal tujuan nya membela rakyat . apakah anda setuju dengan konsep robin hood ? helo . ke mana pikiran mereka ?",negative,bagi para dukung nya jokowi mungkin seperti robin hood tak masalah bila jokowi korupsi tak masalah langgar atur tender untuk sejahtera rakyat tak mengapa buat kriminal asal tuju nya bela rakyat apakah anda tuju dengan konsep robin hood halo ke mana pikir mereka
"vespa sajalah saya kesal naik ninja gaada pegangan nya mana sempit sekali lagi bangku nya , mau jatuh antara hidup dan mati",negative,vespa saja saya kesal naik ninja tidak ada pegang nya mana sempit sekali lagi bangku nya mau jatuh antara hidup dan mati
hindari jam makan siang terutama di hari minggu jika ingin ke sini . semua makanan nya gaya cirebonan yang enak . lotek dan nasi lengko nya enak . tidak kalah sama bakmoy nya,positive,hindar jam makan siang utama di hari minggu jika ingin ke sini semua makan nya gaya cirebonan yang enak lotek dan nasi lengko nya enak tidak kalah sama bakmoy nya
"rasa lomie nya enak banget . walaupun parkir ke sana susah tetapi puas . harga perporsi 45 ribu , kalau mau hemat pesan teh tawar minum nya karena gratis . es lemon tea 22 ribu .",positive,rasa lomie nya enak banget walaupun parkir ke sana susah tetapi puas harga porsi    ribu kalau mau hemat pesan teh tawar minum nya karena gratis es lemon tea    ribu
menyongsong pilkada jatim 2018 demokrat optimis fatayat dan muslimat nu all out dukung khofifah - emil,neutral,songsong pilih kepala daerah jawa timur      demokrat optimis fatayat dan muslimat nu all out dukung khofifah   emil
"calon tunggal pilkada papua : 10 parpol pemilik 43 kursi di dprp tdd partai demokrat 16 kursi , golkar 6 kursi , hanura 5 kursi , pkb 4 kursi , nasdem 3 kursi pks 3 ku si , pan 2 kursi , pkpi 2 kursi , ppp 1 kursi amp ; pbb tanpa kursi .",neutral,calon tunggal pilih kepala daerah papua    partai politik milik    kursi di dprp tdd partai demokrat    kursi golkar   kursi hanura   kursi partai bangkit bangsa   kursi nasional demokrat   kursi partai adil sejahtera   ku sih kapan   kursi partai adil dan satu indonesia   kursi ppp   kursi amp pbb tanpa kursi
bapak berkumis lebat itu menyebrang menggunakan zebra cross,neutral,bapak kumis lebat itu menyebrang guna zebra cross
"serabi nya macam-macam rasanya . mau coklat , stroberi , srikaya . semua ada .",positive,serabi nya macam rasa mau coklat stroberi srikaya semua ada
"kampung daun memanfaatkan kontur dan pemandangan alam nya yang indah dan unik , ditambah lagi ada aliran air terjun kecil yang menambah kental suasana pedesaan . makanan enak . tempat makan berupa saung yang bersih nyaman .",positive,kampung daun manfaat kontur dan pandang alam nya yang indah dan unik tambah lagi ada alir air terjun kecil yang tambah kental suasana desa makan enak tempat makan upa saung yang bersih nyaman
kesal,negative,kesal
tolong media jangan membesar kan berita kekalahan indonesia takut nya untuk pemain trauma atau susah bangkit dari keterpurukan .,negative,tolong media jangan besar kan berita kalah indonesia takut nya untuk main trauma atau susah bangkit dari puruk
katakan tidak untuk gerindra . mereka akan menjadi zombie yang menghisap dana jakarta untuk kepentingan partai,negative,kata tidak untuk gerindra mereka akan jadi zombie yang menghisap dana jakarta untuk penting partai
jalan menuju kafe ini cukup menantang . karena melewati jalan kampung . sesaat sampai di lokasi . suasana nya sungguh menyejukkan rasa makanan di sini cukup enak . namun ku rrang sebanding dengan harga yang ditawarkan . hanya servis dan penyajian sangat baik dan profesional .,positive,jalan tuju kafe ini cukup tantang karena lewat jalan kampung saat sampai di lokasi suasana nya sungguh sejuk rasa makan di sini cukup enak namun ku rrang banding dengan harga yang tawar hanya servis dan saji sangat baik dan profesional
"dari segi makanan oke banget , tetapi dari segi kecepatan pelayanan perlu ditingkatkan lagi , minuman datang nya terlambat untuk 2 jus alpokat menunggu 20 menit . secara keseluruhan baik okelah",positive,dari segi makan oke banget tetapi dari segi cepat layan perlu tingkat lagi minum datang nya lambat untuk   jus alpokat tunggu    menit cara seluruh baik oke
"pemandangan nya alam , sejuk sekali , parkiran sempit kalau tidak dapat parkir lumayan ribet karena dibelokan ramai begitu . yang direkomendasikan dipesan : hot chocolate , bala-bala , pisang goreng , nasi pecel , nasi uduk . murah-murah . buka dari pagi .",positive,pandang nya alam sejuk sekali parkir sempit kalau tidak dapat parkir lumayan ribet karena belok ramai begitu yang rekomendasi pes hot chocolate bala pisang goreng nasi pecel nasi uduk murah buka dari pagi
"rasanya sekarang tidak seenak dulu-dulu . biasa saja . begitu bayar . jantung rasanya mau copot ! untuk makan mi cuma 10 mangkok , 3 polos 7 plus tambahan bisa pilih : bakso goreng , babat , bakso , pangsit harus merogoh uang 500.000 lebih . gila ! setelah ditanya yang polos 35.000 yang plus 50.000 itu belum ppn . gila !",negative,rasa sekarang tidak enak dulu dulu biasa saja begitu bayar jantung rasa mau copot untuk makan mi cuma    mangkok   polos   plus tambah bisa pilih bakso goreng babat bakso pangsit harus rogoh uang         lebih gila telah tanya yang polos        yang plus        itu belum ppn gila
lu yang goblok . semua . fpi itu berjuang goblok . habis semua orang cina .,negative,kamu yang goblok semua front bela islam itu juang goblok habis semua orang cina
presiden dan dpp pks saja dilawan fahri dan keok . sekarang mau ngetest kpk . hebat kamu fahri . dasar bajingan dpr,negative,presiden dan dasar kena pajak partai adil sejahtera saja lawan fahri dan keok sekarang mau ngetest komisi berantas korupsi hebat kamu fahri dasar bajing dewan wakil rakyat
"wanita ini bikin video sindiran pedas untuk anies baswedan , pejalan kaki harus sadar",neutral,wanita ini bikin video sindir pedas untuk anies baswedan pejal kaki harus sadar
ciduk saja pak tidak usah pake lama,negative,ciduk saja pak tidak usah pakai lama
"makanan yang enak dan cheese nya luar biasa enak , dikombinasikan dengan minuman yang segar .",positive,makan yang enak dan cheese nya luar biasa enak kombinasi dengan minum yang segar
"soal rasa sih tidak perlu diragukan deh ya . waktu itu karena baru buka jadi ada promo dapat es krim gratis kalau ngetweet cek in di lokasi . tempat nya yang bagian belakang saya luas , lebih enak .",positive,soal rasa sih tidak perlu ragu deh ya waktu itu karena baru buka jadi ada promo dapat es krim gratis kalau mentwit cek in di lokasi tempat nya yang bagi belakang saya luas lebih enak
dalam lingkup lembah resto ini mempunyai pemandangan yang spectakuler . makanan tersaji melimpah dalam keragaman dan rasa yang bisa dibilang cukup memuaskan . baik berupa main course ataupun pasar yang yang tersedia . tak ada kata yang tepat untuk resto yang bagus kecuali bagus makanan bagus pemandangan ! dan di sini tempat nya,positive,dalam lingkup lembah resto ini punya pandang yang spectakuler makan saji limpah dalam ragam dan rasa yang bisa bilang cukup muas baik upa main course atau pasar yang yang sedia tak ada kata yang tepat untuk resto yang bagus kecuali bagus makan bagus pandang dan di sini tempat nya
"nasi goreng nya enak , rasanya pas . jus ny . juga segar sekali . chiken parmigiana nya enak . pelayanan yang baik , dan mungkin kami akan berkunjung kembali di lain waktu . terima kasih mbak dinda",positive,nasi goreng nya enak rasa pas jus nya juga segar sekali chiken parmigiana nya enak layan yang baik dan mungkin kami akan kunjung kembali di lain waktu terima kasih mbak dinda
"tempat makan yang menyajikan sop iga dan buntut spesial cabe rawit yang memiliki citarasa pedas yang medium , dan juga banyak variasi makanan lain ala barat dan indonesia dan beragam minuman unik segar dan beragam pilihan , akan tetapi untuk harga untuk kelas menengah ke atas , dan suasana tempat nya kurang nyaman .",negative,tempat makan yang saji sop iga dan buntut spesial cabe rawit yang milik citarasa pedas yang medium dan juga banyak variasi makan lain ala barat dan indonesia dan agam minum unik segar dan agam pilih akan tetapi untuk harga untuk kelas tengah ke atas dan suasana tempat nya kurang nyaman
"tjiang , memiliki beberapa cabang di bandung yakni di jalan kebonjati , jalan hos tjokroaminoto d / h pasirkaliki bawah dan jalan cibadak . tjiang menyediakan hidangan makanan cina makanan nasi campur babi . salah satu andalan menu nya yang menggugah selera adalah chasio garing madu . saya pertama kali kenal menu ini dari resto kacamata yang ada di jakarta namun menu tersebut di sini juga enak . secara keseluruhan baik enak .",positive,tjiang milik beberapa cabang di bandung yakni di jalan kebonjati jalan hos tjokroaminoto di h pasirkaliki bawah dan jalan cibadak tjiang sedia hidang makan cina makan nasi campur babi salah satu andal menu nya yang gugah selera adalah chasio garing madu saya pertama kali kenal menu ini dari resto kacamata yang ada di jakarta namun menu sebut di sini juga enak cara seluruh baik enak
anjinglah ini macet tidak kelar kelar tolol .,negative,anjing ini macet tidak selesai selesai tolol
satu tempat dilokasi yang strategis dan tempat dengan banyak pilihan makanan tradisional lebih tepat semacam makanan court yang cukup nyaman .,positive,satu tempat lokasi yang strategis dan tempat dengan banyak pilih makan tradisional lebih tepat macam makan court yang cukup nyaman
"para bakal cabup / wacabup yang se papua yang menerima rekam dari pks , nampak xilem wandik kader pdip , jhon banua dan ham pagawak demokrat",neutral,para bakal cabup wacabup yang se papua yang terima rekam dari partai adil sejahtera tampak xilem wandik kader partai demokrasi indonesia juang jhon banua dan ham pagawak demokrat
"khas rumah makan sunda , lokasi yang saya pilih adalah di rest area cipularang km 72 , bisa lesehan , yang teh terbaik di sini adalah ikan balita , ayam goreng , sambal dadak dan wajib dicoba adalah burung malon ! teh terbaik sayang nya karena hari itu adalah libur lebaran dan suasana resto penuh sehingga pelayanan agak kurang cepat , tapi sejauh ini oke !",positive,khas rumah makan sunda lokasi yang saya pilih adalah di rest area cipularang km    bisa leseh yang teh baik di sini adalah ikan balita ayam goreng sambal dadak dan wajib coba adalah burung malon teh baik sayang nya karena hari itu adalah libur lebaran dan suasana resto penuh sehingga layan agak kurang cepat tapi jauh ini oke
semenjak jokowidodo pki anak keturunan anjing ini menjadi presiden . semakin banyak cina-cina anjing komunis itu memasuk narkoba ke dalam nkri . dasar mamak dan isteri kau pelacur pki anjing,negative,semenjak jokowidodo partai komunis indonesia anak turun anjing ini jadi presiden makin banyak cina anjing komunis itu masuk narkoba ke dalam negara satu republik indonesia dasar mamak dan isteri kamu lacur partai komunis indonesia anjing
kalau yang ini makan steak tetapi dengan harga bersahabat ya di sini tempat nya yang cocok . menu-menu steak ada di sini . kalau yang saya sering makan biasa chiken doubel steak harga nya juga cukup murah sekitar 23 ribu . soal rasa lumayan buat kita goyang lidah . banyak menu-menu lainnya yang buat kalian semua ketagihan .,positive,kalau yang ini makan steak tetapi dengan harga sahabat ya di sini tempat nya yang cocok menu steak ada di sini kalau yang saya sering makan biasa chiken doubel steak harga nya juga cukup murah sekitar    ribu soal rasa lumayan buat kita goyang lidah banyak menu lain yang buat kalian semua tagih
"tempat nya nyaman dan berkesan adem . sate nya juga enak dan ada menu lainnya lagi di tempat ini , tidak hanya sate",positive,tempat nya nyaman dan kesan adem sate nya juga enak dan ada menu lain lagi di tempat ini tidak hanya sate
"saya eks relawan jokowi pak , cuma menyesal dulu pilih beliau , pengin nya",negative,saya eks rawan jokowi pak cuma sesal dulu pilih beliau ingin nya
"tiap kali ke bandung , saya selalu makan cuanki di sini . rasanya endus dan porsi nya mantap ! tidak ada dua nya deh . selain kenyang , enak dan harga nya sangat cocok di kantong . walaupun kalau ke sini harus rela antre .",positive,tiap kali ke bandung saya selalu makan cuanki di sini rasa endus dan porsi nya mantap tidak ada dua nya deh selain kenyang enak dan harga nya sangat cocok di kantong walaupun kalau ke sini harus rela antre
